path,speaker,speaker_id,digit,utterance_id,sample_rate_hz,num_samples
recordings/2_george_35.wav,george,0,2,35,8000,2738
recordings/6_jackson_7.wav,jackson,1,6,7,8000,5087
recordings/1_lucas_49.wav,lucas,2,1,49,8000,3233
recordings/1_nicolas_6.wav,nicolas,3,1,6,8000,2324
recordings/0_theo_21.wav,theo,4,0,21,8000,2950
recordings/5_yweweler_26.wav,yweweler,5,5,26,8000,3249
recordings/0_george_3.wav,george,0,0,3,8000,5007
recordings/7_jackson_31.wav,jackson,1,7,31,8000,3367
recordings/9_lucas_23.wav,lucas,2,9,23,8000,4221
recordings/9_nicolas_30.wav,nicolas,3,9,30,8000,3616
recordings/0_theo_17.wav,theo,4,0,17,8000,3009
recordings/6_yweweler_48.wav,yweweler,5,6,48,8000,2701
recordings/1_george_43.wav,george,0,1,43,8000,3014
recordings/6_jackson_21.wav,jackson,1,6,21,8000,6368
recordings/3_lucas_6.wav,lucas,2,3,6,8000,5695
recordings/2_nicolas_8.wav,nicolas,3,2,8,8000,1914
recordings/4_theo_18.wav,theo,4,4,18,8000,3326
recordings/5_yweweler_43.wav,yweweler,5,5,43,8000,3763
recordings/9_george_20.wav,george,0,9,20,8000,3207
recordings/1_jackson_39.wav,jackson,1,1,39,8000,4513
recordings/0_lucas_27.wav,lucas,2,0,27,8000,7187
recordings/0_nicolas_40.wav,nicolas,3,0,40,8000,3811
recordings/8_theo_38.wav,theo,4,8,38,8000,2311
recordings/5_yweweler_40.wav,yweweler,5,5,40,8000,5470
recordings/4_george_4.wav,george,0,4,4,8000,3479
recordings/4_jackson_10.wav,jackson,1,4,10,8000,3005
recordings/7_lucas_5.wav,lucas,2,7,5,8000,4314
recordings/0_nicolas_19.wav,nicolas,3,0,19,8000,3688
recordings/9_theo_4.wav,theo,4,9,4,8000,3535
recordings/8_yweweler_41.wav,yweweler,5,8,41,8000,2716
