path,speaker,speaker_id,digit,utterance_id,sample_rate_hz,num_samples
0_george_20.wav,george,0,0,20,8000,4347
3_jackson_1.wav,jackson,1,3,1,8000,3756
1_lucas_1.wav,lucas,2,1,1,8000,3200
0_nicolas_1.wav,nicolas,3,0,1,8000,3751
9_theo_8.wav,theo,4,9,8,8000,3349
3_yweweler_33.wav,yweweler,5,3,33,8000,2695
3_george_15.wav,george,0,3,15,8000,3187
9_jackson_27.wav,jackson,1,9,27,8000,4865
1_lucas_11.wav,lucas,2,1,11,8000,3573
4_nicolas_43.wav,nicolas,3,4,43,8000,2550
6_theo_31.wav,theo,4,6,31,8000,4089
8_yweweler_39.wav,yweweler,5,8,39,8000,2798
9_george_37.wav,george,0,9,37,8000,3900
0_jackson_5.wav,jackson,1,0,5,8000,4591
7_lucas_39.wav,lucas,2,7,39,8000,3005
1_nicolas_17.wav,nicolas,3,1,17,8000,2033
2_theo_35.wav,theo,4,2,35,8000,2153
5_yweweler_31.wav,yweweler,5,5,31,8000,3997
1_george_12.wav,george,0,1,12,8000,2962
9_jackson_40.wav,jackson,1,9,40,8000,4962
2_lucas_49.wav,lucas,2,2,49,8000,9707
6_nicolas_44.wav,nicolas,3,6,44,8000,2936
3_theo_12.wav,theo,4,3,12,8000,2061
6_yweweler_4.wav,yweweler,5,6,4,8000,1450
4_george_43.wav,george,0,4,43,8000,2770
1_jackson_23.wav,jackson,1,1,23,8000,3743
8_lucas_19.wav,lucas,2,8,19,8000,4241
2_nicolas_3.wav,nicolas,3,2,3,8000,1914
5_theo_12.wav,theo,4,5,12,8000,2433
1_yweweler_45.wav,yweweler,5,1,45,8000,2935
2_george_8.wav,george,0,2,8,8000,3545
6_jackson_13.wav,jackson,1,6,13,8000,5696
1_lucas_38.wav,lucas,2,1,38,8000,3687
5_nicolas_33.wav,nicolas,3,5,33,8000,3281
5_theo_33.wav,theo,4,5,33,8000,3682
5_yweweler_10.wav,yweweler,5,5,10,8000,4048
8_george_18.wav,george,0,8,18,8000,3747
6_jackson_20.wav,jackson,1,6,20,8000,5517
9_lucas_34.wav,lucas,2,9,34,8000,4160
4_nicolas_19.wav,nicolas,3,4,19,8000,2559
8_theo_2.wav,theo,4,8,2,8000,2892
5_yweweler_12.wav,yweweler,5,5,12,8000,3537
5_george_2.wav,george,0,5,2,8000,3854
4_jackson_47.wav,jackson,1,4,47,8000,3940
6_lucas_28.wav,lucas,2,6,28,8000,4070
9_nicolas_0.wav,nicolas,3,9,0,8000,3335
6_theo_25.wav,theo,4,6,25,8000,4681
8_yweweler_46.wav,yweweler,5,8,46,8000,2629
4_george_35.wav,george,0,4,35,8000,3913
9_jackson_29.wav,jackson,1,9,29,8000,4135
2_lucas_0.wav,lucas,2,2,0,8000,2997
4_nicolas_20.wav,nicolas,3,4,20,8000,2174
1_theo_2.wav,theo,4,1,2,8000,1556
1_yweweler_24.wav,yweweler,5,1,24,8000,2441
1_george_8.wav,george,0,1,8,8000,4294
0_jackson_49.wav,jackson,1,0,49,8000,6273
4_lucas_31.wav,lucas,2,4,31,8000,4265
7_nicolas_32.wav,nicolas,3,7,32,8000,2829
6_theo_46.wav,theo,4,6,46,8000,3554
0_yweweler_34.wav,yweweler,5,0,34,8000,2942
2_george_0.wav,george,0,2,0,8000,2643
7_jackson_2.wav,jackson,1,7,2,8000,3077
6_lucas_39.wav,lucas,2,6,39,8000,4628
8_nicolas_47.wav,nicolas,3,8,47,8000,3184
3_theo_27.wav,theo,4,3,27,8000,3284
0_yweweler_22.wav,yweweler,5,0,22,8000,2695
3_george_10.wav,george,0,3,10,8000,3774
8_jackson_23.wav,jackson,1,8,23,8000,3496
7_lucas_26.wav,lucas,2,7,26,8000,3560
0_nicolas_4.wav,nicolas,3,0,4,8000,3893
1_theo_6.wav,theo,4,1,6,8000,1760
6_yweweler_37.wav,yweweler,5,6,37,8000,3256
8_george_9.wav,george,0,8,9,8000,3829
8_jackson_35.wav,jackson,1,8,35,8000,3824
5_lucas_23.wav,lucas,2,5,23,8000,4727
7_nicolas_44.wav,nicolas,3,7,44,8000,2882
2_theo_26.wav,theo,4,2,26,8000,4984
1_yweweler_21.wav,yweweler,5,1,21,8000,2623
3_george_6.wav,george,0,3,6,8000,3298
9_jackson_15.wav,jackson,1,9,15,8000,4716
8_lucas_43.wav,lucas,2,8,43,8000,4695
4_nicolas_41.wav,nicolas,3,4,41,8000,2746
3_theo_18.wav,theo,4,3,18,8000,2380
0_yweweler_31.wav,yweweler,5,0,31,8000,2612
9_george_6.wav,george,0,9,6,8000,4587
8_jackson_36.wav,jackson,1,8,36,8000,3339
5_lucas_36.wav,lucas,2,5,36,8000,4876
7_nicolas_43.wav,nicolas,3,7,43,8000,2066
7_theo_11.wav,theo,4,7,11,8000,3508
8_yweweler_36.wav,yweweler,5,8,36,8000,2353
8_george_17.wav,george,0,8,17,8000,4085
7_jackson_32.wav,jackson,1,7,32,8000,4301
2_lucas_39.wav,lucas,2,2,39,8000,3005
2_nicolas_16.wav,nicolas,3,2,16,8000,2645
0_theo_34.wav,theo,4,0,34,8000,4231
5_yweweler_43.wav,yweweler,5,5,43,8000,3763
4_george_22.wav,george,0,4,22,8000,4104
9_jackson_4.wav,jackson,1,9,4,8000,4653
4_lucas_18.wav,lucas,2,4,18,8000,4580
8_nicolas_23.wav,nicolas,3,8,23,8000,3236
8_theo_24.wav,theo,4,8,24,8000,2732
3_yweweler_2.wav,yweweler,5,3,2,8000,2005
3_george_12.wav,george,0,3,12,8000,3239
8_jackson_8.wav,jackson,1,8,8,8000,2950
8_lucas_28.wav,lucas,2,8,28,8000,8023
9_nicolas_48.wav,nicolas,3,9,48,8000,3104
3_theo_24.wav,theo,4,3,24,8000,3135
7_yweweler_36.wav,yweweler,5,7,36,8000,3252
1_george_41.wav,george,0,1,41,8000,2890
5_jackson_13.wav,jackson,1,5,13,8000,3373
5_lucas_14.wav,lucas,2,5,14,8000,5053
5_nicolas_46.wav,nicolas,3,5,46,8000,2705
1_theo_7.wav,theo,4,1,7,8000,2458
